,Context,Conext_translation
3902,Someone toasts the happy couple.,Alguien brinda por la feliz pareja.
3903,We come into the middle of an argument on the sidewalk.,Entramos en medio de una discusión en la acera.
3904,Someone can't take any more.,Alguien no puede aguantar más.
3905,"As she crosses, we can see that thirty years of marriage has not lessened their affection for each other.","A medida que cruza, podemos ver que treinta años de matrimonio no han disminuido su afecto mutuo."
3906,"Someone covers well for her absent husband, a smile as warm as summer.","Alguien cubre bien a su marido ausente, una sonrisa cálida como el verano."
3907,"Someone tries to hold him back, but he gets up and leaves.","Alguien intenta retenerlo, pero se levanta y se va."
3908,"Then, the man puts soap on a cloth.","Then, the man puts soap on a cloth."
3909,"Then, the man puts soap on a cloth.","Then, the man puts soap on a cloth."
3910,"After, the man wash the pot outside and inside.","Después, el hombre lava la olla por fuera y por dentro."
3911,"After, the man wash the pot outside and inside.","After, the man wash the pot outside and inside."
3912,A man stands on front a sink.,A man stands on front a sink.
3913,A man stands on front a sink.,Un hombre está parado frente a un fregadero.
3914,They blow smoke out of the hookah and kiss one another.,Sacan humo de la pipa de agua y se besan.
3915,One puts it in her mouth and smokes it.,One puts it in her mouth and smokes it.
3916,Two women are sitting around a hookah.,Dos mujeres están sentadas alrededor de una pipa de agua.
3917,One puts it in her mouth and smokes it.,Uno se lo mete en la boca y lo fuma.
3918,Two women are seen speaking to one another while loading up a hookah.,Se ve a dos mujeres hablando entre sí mientras cargan una pipa de agua.
3919,"A woman stands on front a swimming pool talking, then a slide show of pictures and a man talking in an event is shown.","A woman stands on front a swimming pool talking, then a slide show of pictures and a man talking in an event is shown."
3920,"Someone watches Marley and someone sits sadly, staring into space.","Alguien mira a Marley y alguien se sienta triste, mirando al vacío."
3921,"The people walk across their leaf - strewn lawn, someone carrying someone on his shoulders.","La gente camina por su césped cubierto de hojas, alguien cargando a alguien en sus hombros."
3922,Someone stares at the tv.,Alguien mira la televisión.
3923,"Someone concentrates on the old video footage of his mother laughing and a close up of Marley, staring puzzled into the camera.","Someone concentrates on the old video footage of his mother laughing and a close up of Marley, staring puzzled into the camera."
3924,He gently strokes Marley's head.,Acaricia suavemente la cabeza de Marley.
3925,He gently strokes Marley's head.,He gently strokes Marley's head.
3926,"At the surgery, the vet pushes down the plunger on the needle.","En la cirugía, el veterinario empuja hacia abajo el émbolo de la aguja."
3927,Someone sits sadly in the window seat.,Someone sits sadly in the window seat.
3928,Someone slots a videotape into a player.,Someone slots a videotape into a player.
3929,The vet puts a stethoscope to Marley's chest and listens.,El veterinario pone un estetoscopio en el pecho de Marley y escucha.
3930,"On the video, someone takes off someone's nappy, which Marley then grabs.","En el video, alguien le quita el pañal a alguien, que luego toma Marley."
3931,"Someone grins, watching as his father tries to wrestle the nappy off the dog.",Alguien sonríe al ver cómo su padre intenta quitarle el pañal al perro.
3932,Someone slips him a tidbit.,Alguien le desliza un bocado.
3933,Someone waves to the camera holding baby someone in a cowboy outfit.,Someone waves to the camera holding baby someone in a cowboy outfit.
3934,Someone slips him a tidbit.,Alguien le desliza un bocado.
3935,"Someone grins, watching as his father tries to wrestle the nappy off the dog.",Alguien sonríe al ver cómo su padre intenta quitarle el pañal al perro.
3936,Someone waits tearfully at home.,Someone waits tearfully at home.
3937,Someone slots a videotape into a player.,Alguien inserta una cinta de video en un reproductor.
3938,Someone continues to stroke Marley's head as the vet takes off the stethoscope and turns away.,Alguien continúa acariciando la cabeza de Marley mientras el veterinario le quita el estetoscopio y se vuelve.
3939,Someone sits sadly in the window seat.,Alguien se sienta tristemente en el asiento de la ventana.
3940,Someone continues to stroke Marley's head as the vet takes off the stethoscope and turns away.,Alguien continúa acariciando la cabeza de Marley mientras el veterinario le quita el estetoscopio y se vuelve.
3941,The vet puts a hypodermic into the iv line going into Marley's leg.,El veterinario coloca una hipodérmica en la vía intravenosa que va a la pierna de Marley.
3942,The vet puts a hypodermic into the iv line going into Marley's leg.,El veterinario coloca una hipodérmica en la vía intravenosa que va a la pierna de Marley.
3943,"Someone watches Marley and someone sits sadly, staring into space.","Alguien mira a Marley y alguien se sienta triste, mirando al vacío."
3944,"The boy shakes it, and someone stiffens.",El niño lo sacude y alguien se pone rígido.
3945,A kid finds the remote control unit for the vibrating briefs on the floor and picks it up.,Un niño encuentra el mando a distancia de los calzoncillos vibrantes en el suelo y lo recoge.
3946,"As she does so, she knocks over her bag, and the remote control falls out.","Mientras lo hace, golpea su bolso y el control remoto se cae."
3947,"As she does so, she knocks over her bag, and the remote control falls out.","As she does so, she knocks over her bag, and the remote control falls out."
3948,"The boy shakes it, and someone stiffens.",El niño lo sacude y alguien se pone rígido.
3949,"The boy shakes it, and someone stiffens.","The boy shakes it, and someone stiffens."
3950,A man is in a boat in the water.,A man is in a boat in the water.
3951,The man starts welding something on a metal table.,The man starts welding something on a metal table.
3952,He stops and lifts his mask again.,Se detiene y vuelve a levantarse la máscara.
3953,A man puts on welding safety gear.,Un hombre se pone el equipo de seguridad para soldar.
3954,He uses a tool to hit something on the table before sanding it.,He uses a tool to hit something on the table before sanding it.
3955,The man pulls off his gloves while walking to the camera.,The man pulls off his gloves while walking to the camera.
3956,He then lowers his face mask and starts welding again.,He then lowers his face mask and starts welding again.
3957,"He stops welding, lifts his face mask and adjusts things in the table.","Deja de soldar, se levanta la mascarilla y ajusta las cosas en la mesa."
3958,"On the cookie sheet, there are several raw shape bell shaped cookie dough items on the tray and the lady begins sprinkling green sparkles on top.","On the cookie sheet, there are several raw shape bell shaped cookie dough items on the tray and the lady begins sprinkling green sparkles on top."
3959,A woman wearing a pink hat is holding a plate with cookies on it.,Una mujer con un sombrero rosa sostiene un plato con galletas.
3960,A young lady is in her kitchen with a pink Santa Claus on her head while holding up a bowl of cookies.,Una joven está en su cocina con un Papá Noel rosado en la cabeza mientras sostiene un tazón de galletas.
3961,The lady then appears in the kitchen behind an island with a tray of cookies on the counter.,"Luego, la dama aparece en la cocina detrás de una isla con una bandeja de galletas en el mostrador."
3962,A young lady is in her kitchen with a pink Santa Claus on her head while holding up a bowl of cookies.,Una joven está en su cocina con un Papá Noel rosado en la cabeza mientras sostiene un tazón de galletas.
3963,"While people watch, robot's chest opens.","Mientras la gente mira, el cofre del robot se abre."
3964,"While people watch, robot's chest opens.","Mientras la gente mira, el cofre del robot se abre."
3965,Someone climbs on board of an helicopter.,Someone climbs on board of an helicopter.
3966,"In his darkened office at the White House, someone hangs up the phone and looks out of the French windows.","En su oficina a oscuras en la Casa Blanca, alguien cuelga el teléfono y mira por las ventanas francesas."
3967,"At the campsite in Yellowstone, someone watches the chopper fly overhead.","At the campsite in Yellowstone, someone watches the chopper fly overhead."
3968,He continues to hit the ball onto the field.,Continúa lanzando la pelota al campo.
3969,He continues to hit the ball onto the field.,Continúa lanzando la pelota al campo.
3970,This man is shown hitting the ball while it is on the ground and he is making it go far in the air.,This man is shown hitting the ball while it is on the ground and he is making it go far in the air.
3971,A man is practicing hitting a ball with a stick on a field.,A man is practicing hitting a ball with a stick on a field.
3972,"Someone's tough expression weakens, and his thin lips tremble.",La expresión dura de alguien se debilita y sus delgados labios tiemblan.
3973,"Someone looks from someone to someone, waiting for a response.","Someone looks from someone to someone, waiting for a response."
3974,"He glances across at someone, who is skulking by a tree.",Mira a alguien que se esconde junto a un árbol.
3975,She flips forward and backward multiple times as her trainer and other girls watch.,Se voltea hacia adelante y hacia atrás varias veces mientras su entrenador y otras chicas miran.
3976,"She balances on the beam, then flips forward and backward several times.","She balances on the beam, then flips forward and backward several times."
3977,"She balances on the beam, then flips forward and backward several times.","Ella se balancea sobre la viga, luego gira hacia adelante y hacia atrás varias veces."
3978,A girl sits on a beam in a gym.,Una niña sentada sobre una viga en un gimnasio.
3979,A woman is on a high beam.,Una mujer está en una luz alta.
3980,A woman is on a high beam.,Una mujer está en una luz alta.
3981,A woman is on a high beam.,Una mujer está en una luz alta.
3982,We see small kids ride bmx bikes on a dirt track in an arena.,We see small kids ride bmx bikes on a dirt track in an arena.
3983,We see small kids ride bmx bikes on a dirt track in an arena.,Vemos a niños pequeños montar bicicletas bmx en una pista de tierra en una arena.
3984,The kids ride past the camera.,Los niños pasan frente a la cámara.
3985,We see the person on the left briefly.,We see the person on the left briefly.
3986,We see the person on the left again.,Vemos a la persona de la izquierda nuevamente.
3987,A man is seated inside a building.,A man is seated inside a building.
3988,A man plays a set of drums in a room with an ornate carpet.,Un hombre toca una batería en una habitación con una alfombra ornamentada.
3989,He is quickly playing the drums and cymbals.,Está tocando rápidamente la batería y los platillos.
3990,We see the person on the left briefly.,Vemos brevemente a la persona de la izquierda.
3991,We see the person on the left briefly.,We see the person on the left briefly.
3992,We see the person on the left again.,Vemos a la persona de la izquierda nuevamente.
3993,"Then, the toddler applies make up to her eyelids on front a blue mirror.","Then, the toddler applies make up to her eyelids on front a blue mirror."
3994,A toddler paint her lips with a lipstick.,Un niño pequeño se pinta los labios con un lápiz labial.
3995,"Then, the toddler applies make up to her eyelids on front a blue mirror.","Luego, el niño se aplica maquillaje en los párpados en el frente de un espejo azul."
3996,"At the dining table, someone reads someone scrapbook of newspaper clippings.","En la mesa del comedor, alguien lee un álbum de recortes de periódicos."
3997,"Someone takes off his hat and coat, moves over to the dresser and stares at his reflection in the mirror.","Someone takes off his hat and coat, moves over to the dresser and stares at his reflection in the mirror."
3998,"Someone is now awake, and starts singing their theme song.",Alguien ahora está despierto y comienza a cantar su tema principal.
3999,"As someone comes in, his head is filled with many confusing thoughts, relating to incidents in his past life.","Cuando alguien entra, su cabeza se llena de pensamientos confusos relacionados con incidentes de su vida pasada."
4000,"As someone opens the office door to exit, he shouts at someone's secretary in the outer office.","Cuando alguien abre la puerta de la oficina para salir, le grita a la secretaria de alguien en la oficina exterior."
4001,"He turns and shouts at the goon, impassive as ever beside someone's wheelchair.","Se gira y le grita al matón, impasible como siempre junto a la silla de ruedas de alguien."
4002,"As someone opens the office door to exit, he shouts at someone's secretary in the outer office.","Cuando alguien abre la puerta de la oficina para salir, le grita a la secretaria de alguien en la oficina exterior."
4003,It is the sketch of someone lassoing the moon that we first saw in someone's living room.,It is the sketch of someone lassoing the moon that we first saw in someone's living room.
4004,"He turns and shouts at the goon, impassive as ever beside someone's wheelchair.","Se gira y le grita al matón, impasible como siempre junto a la silla de ruedas de alguien."
4005,"There are two young girls holding violins in their hands, standing with a music stand and a book with music notes behind them.","There are two young girls holding violins in their hands, standing with a music stand and a book with music notes behind them."
4006,Then the older sister grabs her violin and tunes the strings of the violin.,Then the older sister grabs her violin and tunes the strings of the violin.
4007,The older girl is helping and teaching her younger sister to properly hold the violin by changing her head position.,La niña mayor está ayudando y enseñando a su hermana menor a sostener correctamente el violín cambiando la posición de la cabeza.
4008,Then older sister begins playing the violin while the younger sister watches her.,"Luego, la hermana mayor comienza a tocar el violín mientras la hermana menor la mira."
4009,The older girl shows her sister how to play the violin.,La niña mayor le muestra a su hermana cómo tocar el violín.
4010,They wave excitedly at the occupants.,Saludan con entusiasmo a los ocupantes.
4011,A carriage drawn by four white horses arrives at Longbourn.,A carriage drawn by four white horses arrives at Longbourn.
4012,A carriage drawn by four white horses arrives at Longbourn.,Un carruaje tirado por cuatro caballos blancos llega a Longbourn.
4013,Four children emerge first from the cab.,Cuatro niños salen primero de la cabina.
4014,Someone is close to tears.,Alguien está al borde de las lágrimas.
4015,Someone is close to tears.,Someone is close to tears.
4016,Someone waves excitedly at them all as the carriage pulls away.,Someone waves excitedly at them all as the carriage pulls away.
4017,People rush out to meet it.,La gente se apresura a encontrarlo.
4018,They wave excitedly at the occupants.,Saludan con entusiasmo a los ocupantes.
4019,Four children emerge first from the cab.,Four children emerge first from the cab.
4020,Four children emerge first from the cab.,Four children emerge first from the cab.
4021,"Someone steps back and looks at the map, which is covered in photographs.","Alguien da un paso atrás y mira el mapa, que está cubierto de fotografías."
4022,Pinned to it are several photos of the cut - out of people in front of famous landmarks.,Fijadas a él hay varias fotos del recorte de personas frente a lugares famosos.
4023,Pinned to it are several photos of the cut - out of people in front of famous landmarks.,Pinned to it are several photos of the cut - out of people in front of famous landmarks.
4024,He smiles thoughtfully and goes back to join people.,He smiles thoughtfully and goes back to join people.
4025,He smiles thoughtfully and goes back to join people.,Sonríe pensativo y vuelve a reunirse con la gente.
4026,A large group of people are seen standing around a foose ball table speaking to one another and leads into them playing the game.,A large group of people are seen standing around a foose ball table speaking to one another and leads into them playing the game.
4027,A large group of people are seen standing around a foose ball table speaking to one another and leads into them playing the game.,Se ve a un gran grupo de personas de pie alrededor de una mesa de futbolín hablando entre sí y los lleva a jugar el juego.
4028,The man kneels down on his knees several times and bows again.,El hombre se arrodilla varias veces y vuelve a inclinarse.
4029,A man is seen speaking to the camera as well as bowing to the camera.,Se ve a un hombre hablando con la cámara y haciendo una reverencia a la cámara.
4030,A man is standing on a track.,Un hombre está parado sobre una pista.
4031,A lady is walking across a lawn.,Una dama camina por el césped.
4032,"The man runs on the track, jumps, and lands in a sand box.","El hombre corre por la pista, salta y aterriza en un arenero."
4033,A guy runs and stops on the lawn.,Un tipo corre y se detiene en el césped.
4034,A lady is walking across a lawn.,Una dama camina por el césped.
4035,A lady is walking across a lawn.,Una dama camina por el césped.
4036,The class stops and the instructor talks and walks around them.,La clase se detiene y el instructor habla y camina alrededor de ellos.
4037,"A class of children dressed in white gi's are walking, kicking and punching in a classroom while their teacher walks around them.","Una clase de niños vestidos con gi blancos están caminando, pateando y golpeando en un salón de clases mientras su maestra camina alrededor de ellos."
4038,The class stops and the instructor talks and walks around them.,La clase se detiene y el instructor habla y camina alrededor de ellos.
4039,"The class turns around when they get to the end, stops, and the instructor begins talking and demonstrating a kick and a punch to them, moves out of the way and the class resumes.","La clase se da la vuelta cuando llegan al final, se detiene y el instructor comienza a hablar y les demuestra una patada y un puñetazo, se aparta y la clase se reanuda."
4040,"A class of children dressed in white gi's are walking, kicking and punching in a classroom while their teacher walks around them.","Una clase de niños vestidos con gi blancos están caminando, pateando y golpeando en un salón de clases mientras su maestra camina alrededor de ellos."
4041,"A class of children dressed in white gi's are walking, kicking and punching in a classroom while their teacher walks around them.","A class of children dressed in white gi's are walking, kicking and punching in a classroom while their teacher walks around them."
4042,The man helps the boy along the bars while still speaking.,El hombre ayuda al niño a caminar por los barrotes sin dejar de hablar.
4043,A man is shown speaking to the camera and leads into a boy jumping up on uneven bars.,Se muestra a un hombre hablando con la cámara y conduce a un niño saltando sobre barras asimétricas.
4044,In the beginning three different cut scenes are shown that shows different gymnasts completing different exercises.,Al principio se muestran tres escenas de corte diferentes que muestran a diferentes gimnastas realizando diferentes ejercicios.
4045,Subsequently a gymnast converges on the parallel bars and starts to swing.,"Posteriormente, una gimnasta converge en las barras paralelas y comienza a balancearse."
4046,Several shots of the film is shown as well as stills from other movies and appearances together.,"Se muestran varias tomas de la película, así como fotografías de otras películas y apariciones juntas."
4047,And finally the man with red hair gives it a try.,And finally the man with red hair gives it a try.
4048,The first man is then shown practicing by trying to hit targets on the wall.,Luego se muestra al primer hombre practicando tratando de golpear objetivos en la pared.
4049,"Finally, the fourth man introduces himself.","Finalmente, el cuarto hombre se presenta."
4050,The second man to introduce himself takes a turn trying to hit the targets on the wall.,El segundo hombre que se presenta se turna para intentar acertar en los objetivos de la pared.
4051,The man wearing white shorts then tries the practice wall out.,El hombre vestido con pantalones cortos blancos intenta luego la práctica de la pared.
4052,"Finally, the fourth man introduces himself.","Finalmente, el cuarto hombre se presenta."
4053,The first man to practice gives a comment on his performance.,El primer hombre en practicar da un comentario sobre su actuación.
4054,Someone sets down his wallet.,Alguien deja su billetera.
4055,"Facing someone, someone shimmies in place.","Facing someone, someone shimmies in place."
4056,She suddenly drops into a split with her face by his crotch.,She suddenly drops into a split with her face by his crotch.
4057,"Someone points finger guns at someone, as someone dances on the floor.","Alguien apunta con el dedo a alguien, mientras alguien baila en el suelo."
4058,"Now, they enter a motel room.","Ahora, entran en una habitación de motel."
4059,"Spinning around, someone bends over and someone twirls his cowboy hat behind her like riding a bronco.","Al dar la vuelta, alguien se inclina y alguien hace girar su sombrero de vaquero detrás de ella como si estuviera montando un caballo salvaje."
4060,"Now, they enter a motel room.","Ahora, entran en una habitación de motel."
4061,She leads someone to the dance floor.,Lleva a alguien a la pista de baile.
4062,"Facing someone, someone shimmies in place.","Frente a alguien, alguien se balancea en su lugar."
4063,"Someone points finger guns at someone, as someone dances on the floor.","Alguien apunta con el dedo a alguien, mientras alguien baila en el suelo."
4064,She leads someone to the dance floor.,Lleva a alguien a la pista de baile.
4065,Next to the man other is playing on the bowling.,"Junto al hombre, otro está jugando a los bolos."
4066,The man throws the ball down the lane and walks back to the front.,El hombre lanza la pelota por el carril y camina hacia el frente.
4067,Man is in the bowling thowing the ball to the pins.,El hombre está en la bolera lanzando la bola a los pines.
4068,Next to the man other is playing on the bowling.,"Junto al hombre, otro está jugando a los bolos."
4069,A man is seen standing before a bowling lane holding a ball.,Se ve a un hombre parado frente a una pista de bolos sosteniendo una bola.
4070,She then opens the bottle and uses a holder on the side.,Luego abre la botella y usa un soporte en el costado.
4071,A woman is seen speaking to the camera while holding a bottle of sunscreen.,A woman is seen speaking to the camera while holding a bottle of sunscreen.
4072,She jumps up and down while looking off into the distance.,She jumps up and down while looking off into the distance.
4073,A woman walks into frame swinging a jump rope around her.,Una mujer entra en el marco balanceando una cuerda para saltar a su alrededor.
4074,An Asian female walks into the corridor of an outside video with a jump rope in her hand.,Una mujer asiática entra al pasillo de un video exterior con una cuerda para saltar en la mano.
4075,An Asian female walks into the corridor of an outside video with a jump rope in her hand.,Una mujer asiática entra al pasillo de un video exterior con una cuerda para saltar en la mano.
4076,"She then begins to do jump with his jumps, kicks and turns high in the air.","Luego comienza a hacer saltar con sus saltos, patadas y gira alto en el aire."
4077,"She then begins to do jump with his jumps, kicks and turns high in the air.","Luego comienza a hacer saltar con sus saltos, patadas y gira alto en el aire."
4078,People run dragging a large red kite through a field.,La gente corre arrastrando un gran milano rojo por un campo.
4079,A man and a little girl and a boy are flying the kite and holding the base of it.,"Un hombre, una niña y un niño están volando la cometa y sujetando la base."
4080,The kite is in the air flying.,La cometa está en el aire volando.
4081,A man and a little girl and a boy are flying the kite and holding the base of it.,A man and a little girl and a boy are flying the kite and holding the base of it.
4082,The kite is in the air and the kids are standing under it watching it.,The kite is in the air and the kids are standing under it watching it.
4083,The kite is in the air and the kids are standing under it watching it.,La cometa está en el aire y los niños están parados debajo de ella mirándola.
4084,"As his two prodigal agents hug him, he shrugs them off.","Mientras sus dos agentes pródigos lo abrazan, él se encoge de hombros."
4085,He presents a framed arrest report.,Presenta un informe de arresto enmarcado.
4086,"Shaking it, someone grins.","Shaking it, someone grins."
4087,"Daytime, they burst into the bullpen.","Durante el día, irrumpieron en el bullpen."
4088,"Shaking it, someone grins.","Sacudiéndolo, alguien sonríe."
4089,"Daytime, they burst into the bullpen.","Daytime, they burst into the bullpen."
4090,He presents a framed arrest report.,Presenta un informe de arresto enmarcado.
4091,Someone tugs at someone's shirt and points him back to the hall.,Alguien tira de la camisa de alguien y le señala el pasillo.
4092,Someone tugs at someone's shirt and points him back to the hall.,Someone tugs at someone's shirt and points him back to the hall.
4093,A woman throws a javelin at a professional sports event in the daytime in an outdoor sports arena surrounded by bleachers filled with people.,Una mujer lanza una jabalina en un evento deportivo profesional durante el día en un campo de deportes al aire libre rodeado de gradas llenas de gente.
4094,The crowd cheers for her.,La multitud la vitorea.
4095,"The javelin lands outside of a white line painted on the grass and the woman jumps in the air, smiles and throws her arms in the air while smiling at the onlookers in the bleachers.","The javelin lands outside of a white line painted on the grass and the woman jumps in the air, smiles and throws her arms in the air while smiling at the onlookers in the bleachers."
4096,"Outside the bank, police stand by in the afternoon sun.","Fuera del banco, la policía espera bajo el sol de la tarde."
4097,Two detectives exit the coffee shop.,Dos detectives salen de la cafetería.
4098,"In the window, someone sits patiently at a counter, looking out toward the bank.","En la ventana, alguien se sienta pacientemente en un mostrador, mirando hacia el banco."
4099,"In the bank's supply room, one of the robbers digs more at the hole in the corner.","En la sala de suministros del banco, uno de los ladrones excava más en el agujero de la esquina."
4100,The late day sun washes brightly across the bank's facade.,The late day sun washes brightly across the bank's facade.
4101,"Outside the bank, police stand by in the afternoon sun.","Fuera del banco, la policía espera bajo el sol de la tarde."
4102,The esu team members hold their rifles at the ready.,Los miembros del equipo de esu tienen sus rifles listos.
4103,"Someone loosens up, rubbing his shaved head.",Alguien se relaja y se frota la cabeza afeitada.
4104,"Seen from inside, she shifts in her seat.","Vista desde adentro, se mueve en su asiento."
4105,"On the sidewalk, firemen gather for a break outside the corner diner.","En la acera, los bomberos se reúnen para un descanso frente al comedor de la esquina."
4106,"In the bank's supply room, one of the robbers digs more at the hole in the corner.","En la sala de suministros del banco, uno de los ladrones excava más en el agujero de la esquina."
4107,People are sitting in front of him watching.,La gente está sentada frente a él mirando.
4108,A kid is standing up playing the bag pipes.,A kid is standing up playing the bag pipes.
4109,A kid is standing up playing the bag pipes.,Un niño está de pie tocando las gaitas.
4110,"When she finishes, she walks away.","When she finishes, she walks away."
4111,A young girl is standing in front of a crowd.,A young girl is standing in front of a crowd.
4112,"The crowd claps and cheers, as the players warm up.","La multitud aplaude y vitorea, mientras los jugadores se calientan."
4113,"A little girl waves an american flag, before an arm is shown holding a ball.","Una niña agita una bandera estadounidense, antes de que se muestre un brazo sosteniendo una pelota."
4114,An introduction comes onto the screen for a video about a shot put challenge.,Aparece una introducción en la pantalla para un video sobre un desafío de lanzamiento de peso.
4115,An advertisement for the sacramento bee appears.,Aparece un anuncio de la abeja sacramento.
4116,An advertisement for the sacramento bee appears.,Aparece un anuncio de la abeja sacramento.
4117,A group of burly men stand around waiting for a game to start.,Un grupo de hombres corpulentos espera a que comience un juego.
4118,Several people are shown preparing o engage in a shot put toss.,Se muestra a varias personas preparándose o participando en un lanzamiento de peso.
4119,Then they are shown making throws and celebrating their distance.,Luego se les muestra haciendo lanzamientos y celebrando su distancia.
4120,"A man in green sitting at the end of the sand square taking video, on the sides of the square are three men.","Un hombre vestido de verde sentado al final de la plaza de arena grabando video, a los lados de la plaza hay tres hombres."
4121,"A man in green sitting at the end of the sand square taking video, on the sides of the square are three men.","Un hombre vestido de verde sentado al final de la plaza de arena grabando video, a los lados de la plaza hay tres hombres."
4122,People are playing a game of volleyball on a court.,La gente está jugando un partido de voleibol en una cancha.
4123,Later they are lying in bed together.,Más tarde están acostados juntos en la cama.
4124,She shoots him a glance.,Ella le lanza una mirada.
4125,She watches him go through to the other room.,Ella lo ve pasar a la otra habitación.
4126,She watches him go through to the other room.,Ella lo ve pasar a la otra habitación.
4127,Dobson sketches out a design on white canvas and starts painting it.,Dobson sketches out a design on white canvas and starts painting it.
4128,A man appears before several targets on a back wall.,Un hombre aparece ante varios objetivos en una pared trasera.
4129,He talks about the basics of archery.,He talks about the basics of archery.
4130,A woman is shown with an archery set.,Se muestra a una mujer con un juego de tiro con arco.
4131,The man adjusts the shaver.,El hombre ajusta la afeitadora.
4132,The man then shaves his face with the shaver.,"Luego, el hombre se afeita la cara con la afeitadora."
4133,The man then opens the razor.,"Luego, el hombre abre la navaja."
4134,The man finishes and smiles at the camera.,El hombre termina y sonríe a la cámara.
4135,Man is sitting in a bench in the middle of a room.,El hombre está sentado en un banco en medio de una habitación.
4136,A man prepares his supplies near a picnic table and then sets one down.,Un hombre prepara sus suministros cerca de una mesa de picnic y luego deja una.
4137,"Inside the gloomy public house, a man sits reading a book while a spoon stirs itself around a cup.","Dentro de la lúgubre taberna, un hombre está sentado leyendo un libro mientras una cuchara se agita alrededor de una taza."
4138,Chairs turn themselves upside down onto the tables.,Las sillas se dan la vuelta sobre las mesas.
4139,Chairs turn themselves upside down onto the tables.,Las sillas se dan la vuelta sobre las mesas.
4140,The bus hurdles off again down a narrow street.,El autobús vuelve a salir disparado por una calle estrecha.
4141,They bump a parked car.,Chocan contra un auto estacionado.
4142,Someone follows someone into the Leaky Cauldron.,Someone follows someone into the Leaky Cauldron.
4143,The bus and it's occupants become narrow enough to squeeze between them.,The bus and it's occupants become narrow enough to squeeze between them.
4144,They bump a parked car.,Chocan contra un auto estacionado.
4145,Someone hits the window again.,Alguien vuelve a golpear la ventana.
4146,A group of men are standing inside a building.,Un grupo de hombres está dentro de un edificio.
4147,He raises his arm while a camera follows him from behind.,Levanta el brazo mientras una cámara lo sigue por detrás.
4148,A man climbs to the end of a diving board.,Un hombre sube al final de un trampolín.
4149,A group of men are standing inside a building.,Un grupo de hombres está dentro de un edificio.
4150,A man climbs to the end of a diving board.,Un hombre sube al final de un trampolín.
4151,A man is seen speaking to another in front of a large group and one man walks up stairs.,Se ve a un hombre hablando con otro frente a un grupo grande y un hombre sube las escaleras.
4152,A man climbs to the end of a diving board.,Un hombre sube al final de un trampolín.
4153,The men then begin playing a game of soccer and kicking the ball around the field.,"Luego, los hombres comienzan a jugar un partido de fútbol y patean la pelota por el campo."
4154,A large group of people are seen walking out onto a field with a crowd cheering behind them.,Se ve a un gran grupo de personas caminando hacia un campo con una multitud vitoreando detrás de ellos.
4155,Many men are around a swimming pool in their swimsuits for competitive style swimming.,Many men are around a swimming pool in their swimsuits for competitive style swimming.
4156,A video of water polo is shown in the gym.,Se muestra un video de waterpolo en el gimnasio.
4157,There is a competition set up between two teams back and forth trying to make goals.,Hay una competencia entre dos equipos de ida y vuelta tratando de hacer goles.
4158,A video of water polo is shown in the gym.,Se muestra un video de waterpolo en el gimnasio.
4159,A group of men are standing next to a pool in swimsuits and one jumps in.,Un grupo de hombres está de pie junto a una piscina en traje de baño y uno se sube.
4160,A small group of people are seen swimming around a pool and leads into several shots of a swimmer throwing a ball into a net.,Se ve a un pequeño grupo de personas nadando alrededor de una piscina y se producen varias tomas de un nadador lanzando una pelota a una red.
4161,The goalie blocks a few shots and then switches with another team mate while the audience cheers.,El portero bloquea algunos tiros y luego cambia con otro compañero de equipo mientras el público vitorea.
4162,The surveillance screen shows the scene from above.,La pantalla de vigilancia muestra la escena desde arriba.
4163,The four men pick up the injured someone and carry him to the back of the van.,Los cuatro hombres recogen al herido y lo llevan a la parte trasera de la camioneta.
4164,The surveillance screen shows the scene from above.,La pantalla de vigilancia muestra la escena desde arriba.
4165,The four men pick up the injured someone and carry him to the back of the van.,Los cuatro hombres recogen al herido y lo llevan a la parte trasera de la camioneta.
4166,He stares hard at someone.,Mira fijamente a alguien.
4167,The boys struggle to free themselves.,Los chicos luchan por liberarse.
4168,They spot someone's toad.,Ven el sapo de alguien.
4169,"Someone stalks away along the corridor, his black cloak billowing behind him.","Alguien se aleja por el pasillo, su capa negra ondeando detrás de él."
4170,The three - headed dog is asleep.,El perro de tres cabezas está dormido.
4171,The boys struggle to free themselves.,The boys struggle to free themselves.
4172,"Leaving someone, they all huddle under the invisibility cloak.","Dejando a alguien, todos se apiñan bajo la capa de invisibilidad."
4173,The dog destroys the trapdoor.,El perro destruye la trampilla.
4174,Someone unlocks the door on the third floor.,Alguien abre la puerta del tercer piso.
4175,Someone gets up from a chair.,Alguien se levanta de una silla.
4176,Someone freezes and falls over backwards.,Alguien se congela y cae de espaldas.
4177,They take hold of it.,Se apoderan de ella.
4178,The plant begins to move.,La planta comienza a moverse.
4179,The dog opens its three mouths.,El perro abre sus tres bocas.
4180,People creep downstairs into the common room.,La gente baja sigilosamente a la sala común.
4181,A harp is playing by itself.,Un arpa está tocando solo.
4182,A harp is playing by itself.,Un arpa está tocando solo.
4183,"The dog breathes out, and they stagger back.",El perro exhala y se tambalean hacia atrás.
4184,"Someone stalks away along the corridor, his black cloak billowing behind him.","Alguien se aleja por el pasillo, su capa negra ondeando detrás de él."
4185,The dog opens its three mouths.,El perro abre sus tres bocas.
4186,He stares hard at someone.,Mira fijamente a alguien.
4187,People creep downstairs into the common room.,People creep downstairs into the common room.
